129312  | 71832   | 31 Boo
129336  | 71837   | 32 Boo
128898  | 71908   | alpha Cir
129712  | 71995   | 34 Boo
129989  | 72105A  | epsilon A Boo
129988  | 72105B  | epsilon B Boo
129972  | 72125   | omicron Boo
129078  | 72370   | alpha Aps
130945  | 72487   | 38 Boo
131041  | 72524A  | 39A Boo
131041  | 72524B  | 39B Boo
131156  | 72659A  | xi A Boo
131156  | 72659B  | xi B Boo
131058  | 72965   | zeta Cir
131492  | 73129   | theta Cir
132200  | 73334A  | kappa A Cen
132772  | 73369   | 40 Boo
124897  | 69673A  | alpha A Boo
133208  | 73555   | beta Boo
133124  | 73568   | omega Boo
133582  | 73745   | psi Boo
132905  | 73776   | eta Cir
133962  | 73841   | 47 Boo
134083  | 73996   | 45 Boo
134320  | 74087   | 46 Boo
135502  | 74596   | chi Boo
135722  | 74666   | delta Boo
135240  | 74778   | delta Cir
135379  | 74824   | beta Cir
135291  | 74837   | epsilon Cir
136512  | 75049   | omicron CrB
136849  | 75178   | 50 Boo
137107  | 75312A  | eta A CrB
137108  | 75312B  | eta B CrB
136415  | 75323A  | gamma A Cir
136416  | 75323B  | gamma B Cir
137391  | 75411   | mu 1 Boo
137392  | 75415B  | mu 2B Boo
137909  | 75695   | beta CrB
138481  | 75973   | nu 1 Boo
137387  | 76013   | kappa 1 Aps
138629  | 76041   | nu 2 Boo
138749  | 76127A  | theta A CrB
139006  | 76267   | alpha CrB
139153  | 76307   | mu CrB
139641  | 76534   | phi Boo
139891  | 76669B  | zeta 1 CrB
139892  | 76669A  | zeta 2 CrB
138800  | 76750   | kappa 2 Aps
140436  | 76952A  | gamma A CrB
140436  | 76952B  | gamma B CrB
140716  | 77048   | pi CrB
141714  | 77512   | delta CrB
142091  | 77655   | kappa CrB
142908  | 78012   | lambda CrB
143107  | 78159   | epsilon CrB
143761  | 78459   | rho CrB
143807  | 78493   | iota CrB
145328  | 79119   | tau CrB
146362  | 79607B  | sigma B CrB
146361  | 79607A  | sigma A CrB
146738  | 79757   | upsilon CrB
145366  | 80047   | delta 1 Aps
145388  | 80057   | delta 2 Aps
147677  | 80181   | xi CrB
147749  | 80197   | nu 1 CrB
147767  | 80214   | nu 2 CrB
147675  | 81065   | gamma Aps
149324  | 81852   | beta Aps
151249  | 82363   | eta Ara
152786  | 83081   | zeta Ara
152980  | 83153   | epsilon 1 Ara
153580  | 83431   | epsilon 2 Ara
156277  | 84969   | zeta Aps
156190  | 84979B  | iota B Aps
