Hip|HD|BayerFlamsteed|ProperName
||Sol|Sol
  4723|  5933||
  4726|  5919||
  4727|  5900||
  4736|  5959||
  4747|  5975||
  4770|  6055|   Xi  Scl| 
  4771|  5916||
  4772|  6107||
  4786|  5927||
  4789|  5839||
  4794|  6080||
  4796|  6031||
  4801|  6037||
  4809|  6009||
  4811|  5944||
  4824| || 
  4829|  6192|   Ome Phe| 
  4834|  5981||
  4843|  5679||
  4844|  6028|          | 
  4845| || 
  4849|  6101|| 
  4852|  6178|   Sig Scl| 
  4855|  6156||
  4856| || 
  4858|  6120||
  4868|  6093||
  4869|  6446||
  4872| || 
  4874|  6189||
  4875|  6059||
  4878|  6152||
  4879|  6311|          | 
  4882|  6236||
  4889|  6118| 69Sig Psc| 
  4890|  6245|          | 
  4893|  6133||
  4894|  6026||
  4900| ||
  4902|  6084||
  4903|  6116| 39    And| 
  4906|  6186| 71Eps Psc| 
  4907|  5996||
  4911|  6114|          | 
  4914|  6203| 25    Cet| 
  4918|  6112||
  4927| || 
  4932|  6269|          | 
  4934|  6334||
  4935|  6290||
  4962|  6130|          | 
  4961|  6147||
  4965|  5621||
  4966|  5817|| 
  4967| ||
  4978|  6277||
  4979|  6288| 26    Cet| 
  4983|  6226||
  4985|  6354||
  4989|  6225||
  4990|  6264||
  4997|  6367||
  4998|  6211|          | 
  5002|  6262||
  5013|  6238||
  5016|  6250||
  5021|  6210|          | 
  5026|  6413||
  5027|  6378|| 
  5031|  6348||
  5034|  6301|          | 
  5041| ||
  5042|  6403||
  5045|  6314|          | 
  5054|  6434|| 
  5055|  6328||
  5060|  6375||
  5062|  6300|          | 
  5070|  6163||
  5074|  6386| 73    Psc| 
  5075|  6384||
  5080|  6426||
  5081|  6397| 72    Psc| 
  5082|  6623||
  5084|  7070||
  5091|  6409||
  5099|  6493||
  5110|  6440||
  5114| ||
  5121|  6482| 27    Cet| 
  5131|  6456| 74Psi1Psc| 
  5132|  6457| 74Psi1Psc| 
  5133|  6464||
  5141|  6479| 77    Psc| 
  5144|  6480| 77    Psc| 
  5147|  6343||
  5158| ||
  5161|  6417||
  5165|  6595|   Bet Phe| 
  5164|  6530| 28    Cet| 
  5166|  6499||
  5169|  6546||
  5170|  6559|          | 
  5172|  6469||
  5175|  6476||
  5176|  6512||
  5186|  6416|          | 
  5191|  6569||
  5193|  6619|          | 
  5198|  6629||
  5204|  6557| 75    Psc| 
  5207|  6566||
  5209|  6568||
